dataset,classifier,split,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,20,random,accuracy,0.9204545454545454,0.8636363636363636,0.8457042665108124,6,"f2,f6,f7,f21,f26,f30",1156,6.316655799979344
ionosphere,knn5,20,random,macro_f1,0.910763436187165,0.8977272727272727,0.8852672750977836,2,"f5,f6",1156,7.949106400017627
ionosphere,knn5,21,baseline,none,,0.8068181818181818,0.7653333333333333,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.012669700023252517
ionosphere,knn5,21,sfs,accuracy,0.9431818181818182,0.8522727272727273,0.8280991735537191,2,"f8,f7",99,0.4364960000384599
ionosphere,knn5,21,sfs,macro_f1,0.9362595972765464,0.8977272727272727,0.8832375055285272,3,"f8,f7,f3",130,0.6895338000031188
ionosphere,knn5,21,sbs,accuracy,0.8977272727272727,0.8068181818181818,0.7653333333333333,31,"f1,f2,f4,f5,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",131,0.9359502000152133
ionosphere,knn5,21,sbs,macro_f1,0.8809917355371901,0.8068181818181818,0.7653333333333333,31,"f1,f2,f4,f5,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f29,f30,f31,f32,f33,f34",131,1.1315096999751404
ionosphere,knn5,21,random,accuracy,0.9204545454545454,0.7386363636363636,0.6825098039215687,3,"f11,f20,f23",1156,6.408497099997476
ionosphere,knn5,21,random,macro_f1,0.910763436187165,0.7386363636363636,0.6825098039215687,3,"f11,f20,f23",1156,8.05693160003284
ionosphere,knn5,22,baseline,none,,0.8409090909090909,0.8089330024813896,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.012045699986629188
ionosphere,knn5,22,sfs,accuracy,0.9545454545454546,0.8863636363636364,0.8754951895868703,3,"f5,f27,f24",130,0.47975130000850186
ionosphere,knn5,22,sfs,macro_f1,0.9241379310344828,0.9204545454545454,0.9091847265221877,3,"f29,f5,f16",130,0.7000258999760263
ionosphere,knn5,22,sbs,accuracy,0.8636363636363636,0.8409090909090909,0.8044444444444444,31,"f2,f3,f4,f5,f6,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,0.9696102000307292
ionosphere,knn5,22,sbs,macro_f1,0.8362282878411911,0.8409090909090909,0.8044444444444444,31,"f2,f3,f4,f5,f6,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",131,1.1267032999894582
ionosphere,knn5,22,random,accuracy,0.9431818181818182,0.8181818181818182,0.8007923033389927,3,"f3,f5,f34",1156,6.461437800026033
ionosphere,knn5,22,random,macro_f1,0.9372772630078403,0.8181818181818182,0.8007923033389927,3,"f3,f5,f34",1156,7.793590800021775
