dataset,classifier,split,random_state,method,selection_metric,validation_score,test_accuracy,test_macro_f1,n_selected,selected_features,n_evaluated_subsets,time_sec
ionosphere,knn5,11,,sbs,macro_f1,0.848156862745098,0.875,0.851510967939868,30,"f2,f3,f4,f5,f8,f9,f10,f11,f12,f13,f14,f15,f16,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",161,1.3130387999117374
ionosphere,knn5,11,,random,accuracy,0.9545454545454546,0.8636363636363636,0.8505942275042444,3,"f3,f6,f8",1156,5.994508299976587
ionosphere,knn5,11,,random,macro_f1,0.9485680888369374,0.8636363636363636,0.8505942275042444,3,"f3,f6,f8",1156,7.509862599894404
ionosphere,knn5,12,54.0,baseline,none,,0.8863636363636364,0.8664238008500303,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009449599776417017
ionosphere,knn5,12,,sfs,accuracy,0.9204545454545454,0.875,0.8572902845348666,3,"f29,f6,f5",130,0.3915928998030722
ionosphere,knn5,12,,sfs,macro_f1,0.9146223146223147,0.875,0.8572902845348666,3,"f29,f6,f5",130,0.5478138001635671
ionosphere,knn5,12,,sbs,accuracy,0.8522727272727273,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f5,f6,f8,f9,f10,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.677199199795723
ionosphere,knn5,12,,sbs,macro_f1,0.8280991735537191,0.8636363636363636,0.8362282878411911,32,"f1,f2,f3,f4,f5,f6,f8,f9,f10,f11,f12,f13,f14,f15,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",100,0.791206699796021
ionosphere,knn5,12,,random,accuracy,0.9318181818181818,0.8068181818181818,0.7705169504525233,2,"f8,f12",1156,6.203176099807024
ionosphere,knn5,12,,random,macro_f1,0.9241379310344828,0.8068181818181818,0.7705169504525233,2,"f8,f12",1156,7.2816007998771966
ionosphere,knn5,13,55.0,baseline,none,,0.8295454545454546,0.7975149562816383,34,"f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34",0,0.009799099992960691
ionosphere,knn5,13,,sfs,accuracy,0.9431818181818182,0.8977272727272727,0.8832375055285272,4,"f8,f7,f6,f17",160,0.49204380018636584
ionosphere,knn5,13,,sfs,macro_f1,0.9494252873563218,0.8977272727272727,0.8852672750977836,4,"f8,f13,f12,f7",160,0.6859186002984643
ionosphere,knn5,13,,sbs,accuracy,0.8636363636363636,0.8295454545454546,0.7975149562816383,31,"f1,f2,f3,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f33,f34",131,0.8794297999702394
ionosphere,knn5,13,,sbs,macro_f1,0.8323809523809524,0.8295454545454546,0.7975149562816383,31,"f1,f2,f3,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f33,f34",131,1.028869100380689
ionosphere,knn5,13,,random,accuracy,0.9204545454545454,0.8636363636363636,0.8397085610200364,6,"f2,f7,f8,f18,f21,f29",1156,6.553116800263524
ionosphere,knn5,13,,random,macro_f1,0.9091847265221877,0.8636363636363636,0.8397085610200364,6,"f2,f7,f8,f18,f21,f29",1156,8.248003700282425
